scientific,common,family,habitat,c_fert,c_court,c_system,c_choice,mate_choice_index,note,n_images,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent,strike_colour,shape_elaboration,distinct_colour,distinct_shape,distinct_overall
Sardinella longiceps,Indian oil sardine,Clupeidae,marine,0,0,0,0,0.0,"pelagic mass spawn, silver",19,26.4480720046925,2.8994785239114065,0.1630635815970224,0.3568627450980392,0.011205887272119,5.0,53.08807410819311,0.273104657961411,3.892068915162155,0.7936507936507936,0.901938029476616,2.925929440487802,0.5520578923563998,-0.7146520686872222,-0.5108601768576688,0.6842387680774533,1.7161974716321968,3.13390329797916
Caranx ignobilis,Giant trevally,Carangidae,marine,0,0,0,0,0.0,pelagic broadcast,25,20.416801882763263,2.426801018416453,0.1224402035268048,0.2313725490196078,0.0028311088906335,4.0,41.90334433548694,0.1669860101314995,2.0824729262972173,0.7134328358208956,0.7104578702081807,3.8167005693722382,0.5072144364074744,-1.2543185094667486,2.3496931996469157,1.1830874778576308,0.9823658775853877,2.5160490753767393
Mugil cephalus,Flathead mullet,Mugilidae,marine,0,0,0,0,0.0,broadcast spawn,25,24.81226087210998,2.040173343409436,0.1333083313646743,0.3098039215686274,0.0021025866705784,5.0,41.0341041064967,0.1630170316301703,2.838513157236482,0.4956011730205278,0.7864124945895253,3.5790421615956776,0.5587569383581653,-1.0326584078933934,0.6130149845143492,0.9927244617567498,0.8662627404911231,2.3548500821486833
Chanos chanos,Milkfish,Chanidae,marine,0,0,0,0,0.0,broadcast spawn,25,22.570251472104925,2.21781844854858,0.1492266898478609,0.3137254901960784,0.0003134059390425,6.0,50.58623689933822,0.2223321244092757,3.793652188605781,0.6378600823045267,0.7357623264140901,4.221805820081003,0.4707446808510638,-0.7653387926695773,2.0661176355975797,1.2434722790064292,1.4292916083410219,2.9709954761804642
Sphyraena barracuda,Great barracuda,Sphyraenidae,marine,0,0,0,0,0.0,pelagic,25,23.527026935238595,2.570889792683683,0.220805971850599,0.4117647058823529,0.0085498489425981,5.0,46.304402877858315,0.203896499238965,3.0146359025430067,0.5175438596491229,0.6903483946520933,4.213804955217967,0.4264059090146047,-0.7162559210706537,2.3337070763726446,0.4236926321254205,0.9749026579551113,2.5468995951132474
Sardinops sagax,Pacific sardine,Clupeidae,marine,0,0,0,0,0.0,broadcast,25,27.020008139490283,2.2934741497962037,0.2231027987263281,0.396078431372549,0.0158574341161368,5.0,47.18829679903637,0.1984615384615384,2.1213520744037457,0.8908450704225352,0.8513007489160426,2.913537295121884,0.5466731423020884,-0.7731729156701194,0.41027850165815094,0.49811612284812296,1.193604293051782,1.956182164068236
Selar crumenophthalmus,Bigeye scad,Carangidae,marine,0,0,0,0,0.0,pelagic broadcast,25,39.91933183926065,1.836829194864841,0.3122941141433641,0.4509803921568627,0.0048885810893388,5.0,44.49440802793245,0.1429673272629887,1.4167586616211971,0.9566929133858268,0.859705827658576,2.529250398876489,0.603523517051883,-0.6759934507760149,0.23702568658877715,0.4649489873384951,0.9522404486490306,2.074217777333387
Rastrelliger kanagurta,Indian mackerel,Scombridae,marine,0,0,0,0,0.0,pelagic broadcast,25,27.030037708489477,2.4553411909961467,0.2172746300974377,0.396078431372549,0.0046539437325275,5.0,41.03931037851242,0.2118085659788451,1.9788529545986784,0.7372881355932204,0.8154160996656012,3.4936385477592284,0.5746655012438647,-0.7435196626521711,0.8307694642789776,0.3964612043059572,0.793631832148484,1.8539849795667607
Lutjanus campechanus,Red snapper,Lutjanidae,marine,0,0,0,0,0.0,aggregation spawn,25,51.005745890290285,1.908865589442072,0.348242543738698,0.6,0.0986694041931535,5.0,47.3847889453989,0.2164390303925187,1.600086019474522,1.2660944206008584,0.8280258060082297,3.006528197722252,0.6138486354294039,-0.35227137154256,1.7884238649702233,0.5920884825123711,2.0617210670208177,2.874602463285555
Katsuwonus pelamis,Skipjack tuna,Scombridae,marine,0,0,0,0,0.0,pelagic broadcast,25,22.3082210633081,2.8206029612563186,0.1710632642392449,0.3490196078431372,0.0042838150573637,6.0,51.40642862318065,0.210206258083547,2.0059642952448984,0.8009708737864077,0.8413409710625885,2.862204350750931,0.634146942800789,-0.5503637169994305,0.26643350947592004,1.137061481629376,0.9236066022622298,2.365213274610531
Haemulon sciurus,Bluestriped grunt,Haemulidae,marine,0,0,0,1,0.83,aggregation,25,50.47324586662357,2.3299045265109064,0.4254796922306538,0.6862745098039216,0.2,5.0,39.68282787330136,0.1988504860361055,2.284542007476199,0.5737051792828686,0.775532391123617,3.1553847459671847,0.5271444531799562,-0.020223570974368013,0.7020043630245882,0.5011084438776294,0.6555982747195488,1.6539821599458886
Lutjanus kasmira,Bluestripe snapper,Lutjanidae,marine,0,0,0,1,0.83,"TRAP: yellow, aggregation spawn",25,78.68540497594651,3.0541377015053275,0.4974395005701517,0.9098039215686274,0.3535235876528829,5.0,31.65383617385283,0.1490592196474549,2.1450492513937554,0.5282051282051282,0.7427476352895671,3.9739076295920417,0.5021877269426289,0.7346838222700801,1.522826052534508,0.8813316886904461,1.0316838507672532,2.2869818642142903
Acanthurus coeruleus,Atlantic blue tang,Acanthuridae,marine,0,0,0,1,0.83,group spawn,25,63.083175646290115,1.5725710411062856,0.6502742803606084,0.9176470588235294,0.6951691117795101,4.0,20.56628418016114,0.0509435303315682,1.575974850222654,0.729957805907173,0.8820647164410809,2.1556521909446875,0.5998748435544431,0.41406544373760434,-0.9035140552857444,1.4299777821782924,0.6062253446290853,2.388212746603897
Epinephelus striatus,Nassau grouper,Serranidae,marine,0,1,0,0,0.83,huge spawning aggregations,25,41.67945599394739,1.8888681717142264,0.3556536711618804,0.5568627450980392,0.0640707964601769,5.0,36.529695407671575,0.1248595821163783,1.809084342957098,0.6830065359477124,0.856903285090742,2.459860668842836,0.5916083916083916,-0.4733977977908587,-0.5088374859870994,0.4831306628141009,0.5651237119737547,1.6362832031215344
Mulloidichthys vanicolensis,Yellowfin goatfish,Mullidae,marine,0,0,0,1,0.83,group spawn,25,59.2417048370144,3.2291983789209753,0.4442170252015829,0.6705882352941176,0.1788488535329901,5.0,31.047331911484125,0.1201280777299326,2.6020431131654407,0.5625,0.6501668354882917,4.440188608880095,0.428824218005608,0.26984715224365763,3.1255954805777173,0.5475963067273393,1.2473796100646573,2.412339485937215
