scientific,common,family,habitat,c_fert,c_court,c_system,c_choice,mate_choice_index,note,mating_mode,n_images,_p_fish,_ratio,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,Indian oil sardine,Clupeidae,marine,0,0,0,0,0.0,"pelagic mass spawn, silver",Broadcast / group spawn,11,0.4344246983528137,0.9817546942981162,22.575356616596775,2.9747285369919125,0.16202777823689185,0.32941176470588235,0.01134020618556701,5.0,55.87835754557615,0.30279388508170796,4.564670936452918,0.3501144164759725,0.7506286887349243,3.842312216573868,0.5414719626168224
Katsuwonus pelamis,Skipjack tuna,Scombridae,marine,0,0,0,0,0.0,pelagic broadcast,Broadcast / group spawn,25,0.6937624216079712,0.9953233077528032,21.08296701272552,2.829436056455895,0.18931684456169895,0.4,0.012500479312857088,5.0,52.38148243873916,0.21364664005002645,2.5219222793373812,0.5425,0.7595568420001996,3.509255605864082,0.5171643786070356
Lutjanus campechanus,Red snapper,Lutjanidae,marine,0,0,0,0,0.0,aggregation spawn,Broadcast / group spawn,25,0.36653822660446167,0.9609075863389547,42.17139414152085,2.352868477781131,0.26074405565163544,0.49411764705882355,0.02193538897162925,5.0,41.35561539696961,0.22710834017439152,1.9804426755499362,0.6220095693779905,0.7733488620371718,3.1122762699666535,0.5195124090151715
Epinephelus striatus,Nassau grouper,Serranidae,marine,0,1,0,0,0.83,huge spawning aggregations,Broadcast / group spawn,25,0.30662912130355835,0.9304882402093342,35.71386453487334,1.625610191116459,0.4035631111138951,0.5411764705882353,0.05452111955280872,4.0,29.658716245937665,0.08973362930077691,2.109811652920806,0.61003861003861,0.8548272533556741,2.305972661766835,0.5307672165488347
Acanthurus coeruleus,Atlantic blue tang,Acanthuridae,marine,0,0,0,1,0.83,group spawn,Broadcast / group spawn,25,0.46196046471595764,0.947195490526938,67.3067892901247,1.3882622129819748,0.7064855351251913,0.9411764705882353,0.8389864728447406,4.0,20.485400607538455,0.03542402101633692,1.5800542674657607,0.7157534246575342,0.8928691736255163,1.9587760514153227,0.5989599593002417
Paracanthurus hepatus,Blue tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: brilliant blue, aggregation spawner",Broadcast / group spawn,25,0.2514648139476776,0.8504342754942823,109.90504452041355,2.0068677894969356,0.7700020935176493,0.984313725490196,0.8762000210992721,4.0,41.145585443643576,0.08369861880737739,2.099769736787886,0.54,0.899071814745706,1.8982896058106131,0.6182879377431907
Zebrasoma flavescens,Yellow tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: vivid yellow, aggregation spawner",Broadcast / group spawn,25,0.4590412676334381,0.9695537885904578,86.48833317390793,1.039850915420128,0.891977548805676,0.9921568627450981,0.9873211963589077,4.0,22.940632815105108,0.03640612508455814,1.8194922447500828,0.7175572519083969,0.8813738776893105,1.8987192370208623,0.5536517518939394
Mulloidichthys vanicolensis,Yellowfin goatfish,Mullidae,marine,0,0,0,1,0.83,group spawn,Broadcast / group spawn,25,0.46777865290641785,0.9610100915313046,63.52886981920686,3.3350849261357083,0.3749617093869176,0.6941176470588235,0.2244930801416157,5.0,30.835057608848622,0.11719437739599603,2.9410820390681005,0.5313432835820896,0.6128006564439202,4.162874198712558,0.37806711730892056
Paracheirodon axelrodi,Cardinal tetra,Characidae,freshwater,1,1,0,1,2.5,"TRAP: neon but egg-scatterer, low choice",Pelagic pair spawn,8,0.1523047536611557,0.8608899041039737,91.6051056166273,3.043161374840894,0.5086181415886053,0.8372549019607843,0.41985735108252753,5.5,47.46425197560212,0.21663286834063727,3.831728137773986,0.3250137487370346,0.6994108587643023,4.045794766172533,0.46664378907194526
Paracheirodon innesi,Neon tetra,Characidae,freshwater,1,1,0,1,2.5,TRAP: neon egg-scatterer,Pelagic pair spawn,1,0.019844453781843185,0.8427325742350742,49.652583781090506,3.7800868805092125,0.3282129656727257,0.8352941176470589,0.17136539524599226,5.0,70.16495923064167,0.24930901050304036,7.091275172882296,0.22131147540983606,0.8313133811526094,3.5243250284272083,0.5101700060716454
