scientific,common,family,habitat,c_fert,c_court,c_system,c_choice,mate_choice_index,note,n_images,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Sardinella longiceps,Indian oil sardine,Clupeidae,marine,0,0,0,0,0.0,"pelagic mass spawn, silver",19,26.4480720046925,2.8994785239114065,0.1630635815970224,0.3568627450980392,0.011205887272119,5.0,53.08807410819311,0.273104657961411,3.892068915162155,0.7936507936507936,0.901938029476616,2.925929440487802,0.5520578923563998
Caranx ignobilis,Giant trevally,Carangidae,marine,0,0,0,0,0.0,pelagic broadcast,25,20.416801882763263,2.426801018416453,0.1224402035268048,0.2313725490196078,0.0028311088906335,4.0,41.90334433548694,0.1669860101314995,2.0824729262972173,0.7134328358208956,0.7104578702081807,3.8167005693722382,0.5072144364074744
Mugil cephalus,Flathead mullet,Mugilidae,marine,0,0,0,0,0.0,broadcast spawn,25,24.81226087210998,2.040173343409436,0.1333083313646743,0.3098039215686274,0.0021025866705784,5.0,41.0341041064967,0.1630170316301703,2.838513157236482,0.4956011730205278,0.7864124945895253,3.5790421615956776,0.5587569383581653
Chanos chanos,Milkfish,Chanidae,marine,0,0,0,0,0.0,broadcast spawn,25,22.570251472104925,2.21781844854858,0.1492266898478609,0.3137254901960784,0.0003134059390425,6.0,50.58623689933822,0.2223321244092757,3.793652188605781,0.6378600823045267,0.7357623264140901,4.221805820081003,0.4707446808510638
Sphyraena barracuda,Great barracuda,Sphyraenidae,marine,0,0,0,0,0.0,pelagic,25,23.527026935238595,2.570889792683683,0.220805971850599,0.4117647058823529,0.0085498489425981,5.0,46.304402877858315,0.203896499238965,3.0146359025430067,0.5175438596491229,0.6903483946520933,4.213804955217967,0.4264059090146047
Sardinops sagax,Pacific sardine,Clupeidae,marine,0,0,0,0,0.0,broadcast,25,27.020008139490283,2.2934741497962037,0.2231027987263281,0.396078431372549,0.0158574341161368,5.0,47.18829679903637,0.1984615384615384,2.1213520744037457,0.8908450704225352,0.8513007489160426,2.913537295121884,0.5466731423020884
Selar crumenophthalmus,Bigeye scad,Carangidae,marine,0,0,0,0,0.0,pelagic broadcast,25,39.91933183926065,1.836829194864841,0.3122941141433641,0.4509803921568627,0.0048885810893388,5.0,44.49440802793245,0.1429673272629887,1.4167586616211971,0.9566929133858268,0.859705827658576,2.529250398876489,0.603523517051883
Rastrelliger kanagurta,Indian mackerel,Scombridae,marine,0,0,0,0,0.0,pelagic broadcast,25,27.030037708489477,2.4553411909961467,0.2172746300974377,0.396078431372549,0.0046539437325275,5.0,41.03931037851242,0.2118085659788451,1.9788529545986784,0.7372881355932204,0.8154160996656012,3.4936385477592284,0.5746655012438647
Lutjanus campechanus,Red snapper,Lutjanidae,marine,0,0,0,0,0.0,aggregation spawn,25,51.005745890290285,1.908865589442072,0.348242543738698,0.6,0.0986694041931535,5.0,47.3847889453989,0.2164390303925187,1.600086019474522,1.2660944206008584,0.8280258060082297,3.006528197722252,0.6138486354294039
Katsuwonus pelamis,Skipjack tuna,Scombridae,marine,0,0,0,0,0.0,pelagic broadcast,25,22.3082210633081,2.8206029612563186,0.1710632642392449,0.3490196078431372,0.0042838150573637,6.0,51.40642862318065,0.210206258083547,2.0059642952448984,0.8009708737864077,0.8413409710625885,2.862204350750931,0.634146942800789
